ground_truth,model_prediction
steering wheel must have continuous perimeter that is near circular or near oval outer perimeter profile may have some straight sections but no concave sections “h” “figure 8” or cutout wheels are not allowed,steering wheel must have continuous perimeter that is near circular or near oval outer perimeter profile may have some straight sections but no concave sections “h” “figure 8” or cutout wheels are not allowed
wheel size wheels must be 2032 mm 80 inches or more in diameter,v41 v41 wheel size wheels must be 2032 mm 80 inches or more in diameter
any wheel mounting system that uses single retaining nut must incorporate device to retain nut and wheel if nut loosens second nut jam nut does not meet this requirement,any wheel mounting system that uses single retaining nut must incorporate device to retain nut and wheel if nut loosens second nut jam nut does not meet this requirement
teams using modified lug bolts or custom designs must provide proof that good engineering practices have been followed in their design,v422 v422 teams using modified lug bolts or custom designs must provide proof that good engineering practices have been followed in their design
if used aluminum wheel nuts must be hard anodized and in pristine condition,if used aluminum wheel nuts must be hard anodized and in pristine condition
tires vehicles may have two types of tires dry and wet,v43 v43 tires vehicles may have two types of tires dry and wet
dry tires tires on vehicle when it is presented for technical inspection b may be any size or type slicks or treaded,v431 v431 dry tires tires on vehicle when it is presented for technical inspection b may be any size or type slicks or treaded
wet tires any size or type of treaded or grooved tire where • tread pattern or grooves were molded in by tire manufacturer or were cut by tire manufacturer or appointed agent any grooves that have been cut must have documented proof that this rule was met • there is minimum tread depth of 24 mm,v432 v432 wet tires any size or type of treaded or grooved tire where • tread pattern or grooves were molded in by tire manufacturer or were cut by tire manufacturer or appointed agent any grooves that have been cut must have documented proof that this rule was met • there is minimum tread depth of 24 mm
tire set all four dry tires and wheels or all four wet tires and wheels do not have to be identical b once each tire set has been presented for technical inspection any tire compound or size or wheel type or size must not be changed,v433 v433 tire set all four dry tires and wheels or all four wet tires and wheels do not have to be identical b once each tire set has been presented for technical inspection any tire compound or size or wheel type or size must not be changed
tire pressure tire pressure must be in range allowed by manufacturer at all times b tire pressure may be inspected at any time,v434 v434 tire pressure tire pressure must be in range allowed by manufacturer at all times b tire pressure may be inspected at any time
requirements for all tires teams must not perform any hand cutting grooving or modification of tires b tire warmers are not allowed c no traction enhancers may be applied to tires at any time onsite at competition,no applicable rule found
chassis fabricated structural assembly that supports all functional vehicle systems this assembly may be single fabricated structure multiple fabricated structures or combination of composite and welded structures,no applicable rule found
frame member minimum representative single piece of uncut continuous tubing,f12 f12 frame member minimum representative single piece of uncut continuous tubing
monocoque type of chassis where loads are supported by external panels,f13 f13 monocoque type of chassis where loads are supported by external panels
main hoop roll bar located alongside or immediately aft of driver’s torso,f14 f14 main hoop roll bar located alongside or immediately aft of driver’s torso
front hoop roll bar located above driver’s legs in proximity to steering wheel,f15 f15 front hoop roll bar located above driver’s legs in proximity to steering wheel
roll hoops referring to both front hoop and main hoop,f16 f16 roll hoops referring to both front hoop and main hoop
roll hoop bracing supports structure from lower end of roll hoop bracing back to roll hoops,f17 f17 roll hoop bracing supports structure from lower end of roll hoop bracing back to roll hoops
front bulkhead planar structure that provides protection for driver’s feet,f18 f18 front bulkhead planar structure that provides protection for driver’s feet
impact attenuator deformable energy absorbing device located forward of front bulkhead,impact attenuator deformable energy absorbing device located forward of front bulkhead
primary structure combination of following components • front bulkhead and front bulkhead support • front hoop main hoop roll hoop braces and supports • side impact structure • ev only tractive system protection and rear impact protection • any frame members guides or supports that transfer load from driver restraint system,no applicable rule found
primary structure envelope volume enclosed by multiple tangent planes each of which follows exact outline of primary structure frame members,f111 f111 primary structure envelope volume enclosed by multiple tangent planes each of which follows exact outline of primary structure frame members
major structure portion of chassis that lies inside primary structure envelope excluding main hoop bracing and portion of main hoop above horizontal plane located at top of upper side impact member or top of side impact zone,f112 f112 major structure portion of chassis that lies inside primary structure envelope excluding main hoop bracing and portion of main hoop above horizontal plane located at top of upper side impact member or top of side impact zone
rollover protection envelope primary structure plus plane from top of main hoop to top of front hoop plus plane from top of main hoop to rearmost triangulated structural tube or monocoque equivalent if there are no triangulated structural members aft of main hoop rollover protection envelope ends at rear plane of main hoop,no applicable rule found
tire surface envelope volume enclosed by tangent lines between main hoop and outside edge of each of four tires,f114 f114 tire surface envelope volume enclosed by tangent lines between main hoop and outside edge of each of four tires
component envelope area that is inside plane from top of main hoop to top of front bulkhead plus plane from top of main hoop to rearmost triangulated structural tube or monocoque equivalent see note in step f113 above,f115 f115 component envelope area that is inside plane from top of main hoop to top of front bulkhead plus plane from top of main hoop to rearmost triangulated structural tube or monocoque equivalent see note in step f113 above
buckling modulus ei equal to ei where e modulus of elasticity and i area moment of inertia about weakest axis,f116 f116 buckling modulus ei equal to ei where e modulus of elasticity and i area moment of inertia about weakest axis
triangulation arrangement of frame members where all members and segments of members between bends or nodes with structural tubes form structure composed entirely of triangles this is generally required between upper member and lower member both of which may have multiple segments requiring diagonal to form multiple triangles b this is also what is meant by “properly triangulated”,f117 f117 triangulation arrangement of frame members where all members and segments of members between bends or nodes with structural tubes form structure composed entirely of triangles this is generally required between upper member and lower member both of which may have multiple segments requiring diagonal to form multiple triangles b this is also what is meant by “properly triangulated”
nonflammable material metal or non metallic material which meets ul94v0 far25 or approved equivalent,f118 f118 nonflammable material metal or non metallic material which meets ul94v0 far25 or approved equivalent
structural equivalency spreadsheet ses,no applicable rule found
ses is supplement to formula sae rules and may provide guidance or further details in addition to those of formula sae rules,f211 f211 ses is supplement to formula sae rules and may provide guidance or further details in addition to those of formula sae rules
ses provides means to document primary structure and show compliance with formula sae rules b determine equivalence to formula sae rules using accepted basis,f212 f212 ses provides means to document primary structure and show compliance with formula sae rules b determine equivalence to formula sae rules using accepted basis
all teams must submit structural equivalency spreadsheet ses as given in section dr document requirements,all teams must submit structural equivalency spreadsheet ses as given in section dr document requirements
equivalency in structural context is determined and documented with methods in ses,equivalency in structural context is determined and documented with methods in ses
any equivalency calculations must prove equivalency relative to steel tubing in same application,f232 f232 any equivalency calculations must prove equivalency relative to steel tubing in same application
properties of tubes and laminates may be combined to prove equivalence for example in side impact structure consisting of one tube per f321e and laminate panel panel only needs to be equivalent to two side impact tubes,properties of tubes and laminates may be combined to prove equivalence for example in side impact structure consisting of one tube per f321e and laminate panel panel only needs to be equivalent to two side impact tubes
tolerance tolerance on dimensions given in rules is allowed and is addressed in ses,f24 f24 tolerance tolerance on dimensions given in rules is allowed and is addressed in ses
fabrication vehicles must be fabricated in accordance with design materials and processes described in ses,f25 f25 fabrication vehicles must be fabricated in accordance with design materials and processes described in ses
dimensions diameter and wall thickness values provided in this section f3 are based on dimensions for commonly available tubing,f31 f31 dimensions diameter and wall thickness values provided in this section f3 are based on dimensions for commonly available tubing
definition any tubing which does not meet f321o structural tubing,f331 f331 definition any tubing which does not meet f321o structural tubing
applicability non structural tubing is ignored when assessing compliance to any rule,f332 f332 applicability non structural tubing is ignored when assessing compliance to any rule
properties for any steel material for calculations submitted in ses must be non welded properties for continuous material calculations young’s modulus e 200 gpa 29000 ksi yield strength sy 305 mpa 442 ksi ultimate strength su 365 mpa 529 ksi b welded properties for discontinuous material such as joint calculations yield strength sy 180 mpa 26 ksi ultimate strength su 300 mpa 435 ksi,f342 f342 properties for any steel material for calculations submitted in ses must be non welded properties for continuous material calculations young’s modulus e 200 gpa 29000 ksi yield strength sy 305 mpa 442 ksi ultimate strength su 365 mpa 529 ksi b welded properties for discontinuous material such as joint calculations yield strength sy 180 mpa 26 ksi ultimate strength su 300 mpa 435 ksi
where welded tubing reinforcements are required such as inserts for bolt holes or material to support suspension cutouts equivalence of welded tube and reinforcement must be shown to original non welded tube in ses,f343 f343 where welded tubing reinforcements are required such as inserts for bolt holes or material to support suspension cutouts equivalence of welded tube and reinforcement must be shown to original non welded tube in ses
alternative materials may be used for applications shown as permitted in f321,f351 f351 alternative materials may be used for applications shown as permitted in f321
if any alternative materials are used ses must contain documentation of material type purchase receipt shipping document or letter of donation and material properties b calculations that show equivalent to or better than minimum requirements for steel tubing in application as listed in f341 for yield and ultimate strengths matching non welded steel properties from f342a above in bending buckling and tension for buckling modulus and for energy dissipation c details of manufacturing technique and process,f352 f352 if any alternative materials are used ses must contain documentation of material type purchase receipt shipping document or letter of donation and material properties b calculations that show equivalent to or better than minimum requirements for steel tubing in application as listed in f341 for yield and ultimate strengths matching non welded steel properties from f342a above in bending buckling and tension for buckling modulus and for energy dissipation c details of manufacturing technique and process
aluminum tubing minimum wall thickness for aluminum tubing non welded 20 mm welded 30 mm b non welded properties for aluminum alloy 6061t6 for calculations in ses must be young’s modulus e 69 gpa 10000 ksi yield strength sy 240 mpa 348 ksi ultimate strength su 290 mpa 421 ksi c welded properties for aluminum alloy 6061t6 for calculations in ses must be yield strength sy 115 mpa 167 ksi ultimate strength su 175 mpa 254 ksi d if welding is used on regulated aluminum structure equivalent yield strength must be considered in “as welded” condition for alloy used unless team provides detailed proof that frame or component has been properly solution heat treated artificially aged and not subject to heating during team manufacturing e if aluminum was solution heat treated and age hardened to increase its strength after welding team must supply evidence as to how process was performed this includes but is not limited to heat treating facility used process applied and fixturing used,f353 f353 aluminum tubing minimum wall thickness for aluminum tubing non welded 20 mm welded 30 mm b non welded properties for aluminum alloy 6061t6 for calculations in ses must be young’s modulus e 69 gpa 10000 ksi yield strength sy 240 mpa 348 ksi ultimate strength su 290 mpa 421 ksi c welded properties for aluminum alloy 6061t6 for calculations in ses must be yield strength sy 115 mpa 167 ksi ultimate strength su 175 mpa 254 ksi d if welding is used on regulated aluminum structure equivalent yield strength must be considered in “as welded” condition for alloy used unless team provides detailed proof that frame or component has been properly solution heat treated artificially aged and not subject to heating during team manufacturing e if aluminum was solution heat treated and age hardened to increase its strength after welding team must supply evidence as to how process was performed this includes but is not limited to heat treating facility used process applied and fixturing used
requirements if any composite or other material is used ses must contain,no applicable rule found
documentation of material type purchase receipt shipping document or letter of donation and material properties,f411 documentation of material type purchase receipt shipping document or letter of donation and material properties
details of manufacturing technique andor composite layup technique as well as structural material used examples cloth type weight and resin type number of layers core material and skin material if metal,f412 f412 details of manufacturing technique andor composite layup technique as well as structural material used examples cloth type weight and resin type number of layers core material and skin material if metal
calculations that show equivalence of structure to one of similar geometry made to meet minimum requirements for structure made from steel tubing per f32 equivalency calculations must be submitted for energy dissipation yield and ultimate strengths in bending buckling and tension,f413 f413 calculations that show equivalence of structure to one of similar geometry made to meet minimum requirements for structure made from steel tubing per f32 equivalency calculations must be submitted for energy dissipation yield and ultimate strengths in bending buckling and tension
construction dates of test panels and monocoque and approximate ages of materials used intent is for test panel to use same material batch material age material storage and student layup quality as monocoque,f414 f414 construction dates of test panels and monocoque and approximate ages of materials used intent is for test panel to use same material batch material age material storage and student layup quality as monocoque
quasiisotropic layup layup with equal fiber strength and stiffness along any orientation in plane of layup when layup has equal fiber properties and mass in 0904545 directions layup may be considered quasiisotropic,f42 f42 quasiisotropic layup layup with equal fiber strength and stiffness along any orientation in plane of layup when layup has equal fiber properties and mass in 0904545 directions layup may be considered quasiisotropic
testing requirements any tested samples must be engraved with construction date sample name and peak test force b same set of test results must not be used for different monocoques in different years intent is for test panel to use same material batch material age material storage and student layup quality as monocoque,f431 f431 testing requirements any tested samples must be engraved with construction date sample name and peak test force b same set of test results must not be used for different monocoques in different years intent is for test panel to use same material batch material age material storage and student layup quality as monocoque
primary structure laminate testing teams must build new representative test panels for each ply schedule used in regulated regions of new chassis as flat panel and perform 3 point bending test on these panels refer to f434 test panels must • measure one of two options 138 mm x 500 mm or 275 mm x 500 mm • be supported by span distance of 400 mm • have equal surface area for top and bottom skin • have bare edges without skin material b ses must include • data from 3 point bending tests • pictures of test samples • picture of test sample and test setup showing measurement documenting supported span distance used in ses c test panel results must be used to derive stiffness yield strength ultimate strength and absorbed energy properties by ses formula and limits for purpose of calculating laminate panels equivalency corresponding to primary structure regions of chassis d test panels must use thickest core associated with each skin layup designs may use core thickness that is 50 100 of test panel core thickness associated with each skin layup e calculation of derived properties must use part of test data where deflection is 50 mm or less f calculation of absorbed energy must use integral of force times displacement,f432 primary structure laminate testing teams must build new representative test panels for each ply schedule used in regulated regions of new chassis as flat panel and perform 3 point bending test on these panels refer to f434 test panels must • measure one of two options 138 mm x 500 mm or 275 mm x 500 mm • be supported by span distance of 400 mm • have equal surface area for top and bottom skin • have bare edges without skin material b ses must include • data from 3 point bending tests • pictures of test samples • picture of test sample and test setup showing measurement documenting supported span distance used in ses c test panel results must be used to derive stiffness yield strength ultimate strength and absorbed energy properties by ses formula and limits for purpose of calculating laminate panels equivalency corresponding to primary structure regions of chassis d test panels must use thickest core associated with each skin layup designs may use core thickness that is 50 100 of test panel core thickness associated with each skin layup e calculation of derived properties must use part of test data where deflection is 50 mm or less f calculation of absorbed energy must use integral of force times displacement
comparison test teams must make equivalent test that will determine any compliance in test rig and establish absorbed energy value of baseline tubes comparison test must use two side impact steel tubes f321e b steel tubes must be tested to minimum displacement of 190 mm c calculation of absorbed energy must use integral of force times displacement from initiation of load to displacement of 190 mm,f433 f433 comparison test teams must make equivalent test that will determine any compliance in test rig and establish absorbed energy value of baseline tubes comparison test must use two side impact steel tubes f321e b steel tubes must be tested to minimum displacement of 190 mm c calculation of absorbed energy must use integral of force times displacement from initiation of load to displacement of 190 mm
test conduct laminate test f432 and comparison test f432e must use same fixture b load applicator used to test any paneltubes as required in this section f43 must be • metallic • radius 50 mm c load applicator must overhang test piece to prevent edge loading d any other material must not be placed between load applicator and items on test,f434 f434 test conduct laminate test f432 and comparison test f432e must use same fixture b load applicator used to test any paneltubes as required in this section f43 must be • metallic • radius 50 mm c load applicator must overhang test piece to prevent edge loading d any other material must not be placed between load applicator and items on test
perimeter shear test perimeter shear test must be completed by measuring force required to push or pull 25 mm diameter flat punch through flat laminate sample b sample must • measure 100 mm x 100 mm minimum • have core and skin thicknesses identical to those used in actual application • be manufactured using same materials and processes c fixture must support entire sample except for 32 mm hole aligned coaxially with punch d sample must not be clamped to fixture e edge of punch and hole in fixture may include optional fillet up to maximum radius of 1 mm f ses must include force and displacement data and photos of test setup g first peak in loaddeflection curve must be used to determine skin shear strength this may be less than minimum force required by f733 f755 h maximum force recorded must meet requirements of f733 f755,f435 perimeter shear test perimeter shear test must be completed by measuring force required to push or pull 25 mm diameter flat punch through flat laminate sample b sample must • measure 100 mm x 100 mm minimum • have core and skin thicknesses identical to those used in actual application • be manufactured using same materials and processes c fixture must support entire sample except for 32 mm hole aligned coaxially with punch d sample must not be clamped to fixture e edge of punch and hole in fixture may include optional fillet up to maximum radius of 1 mm f ses must include force and displacement data and photos of test setup g first peak in loaddeflection curve must be used to determine skin shear strength this may be less than minimum force required by f733 f755 h maximum force recorded must meet requirements of f733 f755
additional testing when laminate schedules are not quasiisotropic layup f42 results from 3 point bending test will be assigned to 0 layup direction b monocoque must have tested layup direction normal to cross sections used for equivalence in ses with allowance for taper of monocoque normal to cross section c all material properties in weakest direction must be 50 or more of those in strongest direction as calculated by ses,f436 f436 additional testing when laminate schedules are not quasiisotropic layup f42 results from 3 point bending test will be assigned to 0 layup direction b monocoque must have tested layup direction normal to cross sections used for equivalence in ses with allowance for taper of monocoque normal to cross section c all material properties in weakest direction must be 50 or more of those in strongest direction as calculated by ses
lap joint test lap joint test measures force required to pull apart joint comprised of two laminate samples that are bonded together do two separate pull tests with different orientations of adhesive joint • parallel to pull direction with adhesive joint in pure shear • t peel normal to pull direction with adhesive joint in peel b samples used must • have skin thicknesses identical to those used in actual monocoque • be manufactured using same materials and processes • have same overlap as used in regulated structure no scaling is permitted c force and displacement data and photos of test setup must be included in ses d shear strength of bond must be more than uts of skin,f437 f437 lap joint test lap joint test measures force required to pull apart joint comprised of two laminate samples that are bonded together do two separate pull tests with different orientations of adhesive joint • parallel to pull direction with adhesive joint in pure shear • t peel normal to pull direction with adhesive joint in peel b samples used must • have skin thicknesses identical to those used in actual monocoque • be manufactured using same materials and processes • have same overlap as used in regulated structure no scaling is permitted c force and displacement data and photos of test setup must be included in ses d shear strength of bond must be more than uts of skin
when specified equivalence of chassis must be calculated as flat panel with same composition as chassis about neutral axis of laminate,when specified equivalence of chassis must be calculated as flat panel with same composition as chassis about neutral axis of laminate
curvature of panel and geometric cross section of chassis must be ignored for these calculations,f442 f442 curvature of panel and geometric cross section of chassis must be ignored for these calculations
calculations of equivalence that do not reference this section f44 may use actual geometry of chassis,f443 f443 calculations of equivalence that do not reference this section f44 may use actual geometry of chassis
chassis requirements this section applies to all chassis regardless of material or construction,no applicable rule found
primary structure must be constructed from one or combination of following • steel tubing and material f32 f34 • alternative tubing materials f32 f35 • composite material f4,f511 f511 primary structure must be constructed from one or combination of following • steel tubing and material
any chassis design that combines tube frame monocoque tubing andor composite types must meet all relevant requirements f511 b show equivalence f23 as applicable c any connections must meet f54 f55 f78 as applicable or equivalent,any chassis design that combines tube frame monocoque tubing andor composite types must meet all relevant requirements f511 b show equivalence f23 as applicable c any connections must meet f54 f55 f78 as applicable or equivalent
minimum radius of any bend measured at tube centerline must be three or more times tube outside diameter 3 x od,f521 f521 minimum radius of any bend measured at tube centerline must be three or more times tube outside diameter 3 x od
bends must be smooth and continuous with no evidence of crimping or wall failure,bends must be smooth and continuous with no evidence of crimping or wall failure
if bent tube or member consisting of multiple tubes that are not in line is used anywhere in primary structure other than roll hoops see f562 additional tube must be attached to support it support tube attachment point must be at position along bent tube where it deviates farthest from straight line connecting both ends b support tube must terminate at node of chassis c support tube for any bent tube other than upper side impact member or shoulder harness mounting bar must be • same diameter and thickness as bent tube • angled no more than 30° from plane of bent tube,f523 f523 if bent tube or member consisting of multiple tubes that are not in line is used anywhere in primary structure other than roll hoops see f562 additional tube must be attached to support it support tube attachment point must be at position along bent tube where it deviates farthest from straight line connecting both ends b support tube must terminate at node of chassis c support tube for any bent tube other than upper side impact member or shoulder harness mounting bar must be • same diameter and thickness as bent tube • angled no more than 30° from plane of bent tube
any holes in any regulated tubing other than inspection holes must be addressed on ses,f531 f531 any holes in any regulated tubing other than inspection holes must be addressed on ses
technical inspectors may check compliance of all tubes this may be done by ultrasonic testing or by drilling of inspection holes on request,f532 f532 technical inspectors may check compliance of all tubes this may be done by ultrasonic testing or by drilling of inspection holes on request
regulated tubing other than open lower ends of roll hoops must have any open ends closed by welded cap or inserted metal plug,f533 f533 regulated tubing other than open lower ends of roll hoops must have any open ends closed by welded cap or inserted metal plug
bolted connections in primary structure must use removable bolt and nut bonded fasteners and blind nuts and bolts do not meet this requirement,f541 f541 bolted connections in primary structure must use removable bolt and nut bonded fasteners and blind nuts and bolts do not meet this requirement
threaded fasteners used in primary structure are critical fasteners see t82,threaded fasteners used in primary structure are critical fasteners see t82
bolted connections in primary structure using tabs or brackets must have edge distance ratio “ed” of 15 or higher “d” equals hole diameter “e” equals distance from edge of hole to nearest free edge tabs attaching suspension to primary structure are not “in primary structure”,f543 f543 bolted connections in primary structure using tabs or brackets must have edge distance ratio “ed” of 15 or higher “d” equals hole diameter “e” equals distance from edge of hole to nearest free edge tabs attaching suspension to primary structure are not “in primary structure”
adhesive used and referenced bonding strength must be appropriate for both substrate types,adhesive used and referenced bonding strength must be appropriate for both substrate types
document adhesive choice age and expiration date substrate preparation and equivalency of bonded joint in ses,f552 f552 document adhesive choice age and expiration date substrate preparation and equivalency of bonded joint in ses
ses will reduce any referenced or tested adhesive values by 50,f553 f553 ses will reduce any referenced or tested adhesive values by 50
chassis must include both main hoop and front hoop,f561 f561 chassis must include both main hoop and front hoop
main hoop and front hoop must be triangulated into primary structure with structural tubing triangulation must be at node in side view for bends in side view b bends in front view below upper side impact structure f64 f75,f562 f562 main hoop and front hoop must be triangulated into primary structure with structural tubing triangulation must be at node in side view for bends in side view b bends in front view below upper side impact structure f64 f75
roll hoop and driver position when seated normally and restrained by driver restraint system helmet of 95th percentile male see v211 and all of team’s drivers must be minimum of 50 mm from straight line drawn from top of main hoop to top of front hoop b be minimum of 50 mm from straight line drawn from top of main hoop to lower end of main hoop bracing if bracing extends rearwards c be no further rearwards than rear surface of main hoop if main hoop bracing extends forwards,no applicable rule found
driver template two dimensional template used to represent 95th percentile male is made to following dimensions see figure below • circle of diameter 200 mm will represent hips and buttocks • circle of diameter 200 mm will represent shouldercervical region • circle of diameter 300 mm will represent head with helmet • straight line measuring 490 mm will connect centers of two 200 mm circles • straight line measuring 280 mm will connect centers of upper 200 mm circle and 300 mm head circle,f564 driver template two dimensional template used to represent 95th percentile male is made to following dimensions see figure below • circle of diameter 200 mm will represent hips and buttocks • circle of diameter 200 mm will represent shouldercervical region • circle of diameter 300 mm will represent head with helmet • straight line measuring 490 mm will connect centers of two 200 mm circles • straight line measuring 280 mm will connect centers of upper 200 mm circle and 300 mm head circle
driver template position driver template will be positioned as follows • seat will be adjusted to rearmost position • pedals will be placed in most forward position • bottom 200 mm circle will be placed on seat bottom where distance between center of this circle and rearmost face of pedals is no less than 915 mm • middle 200 mm circle representing shoulders will be positioned on seat back • upper 300 mm circle will be positioned no more than 25 mm away from head restraint where driver’s helmet would normally be located while driving,f565 driver template position driver template will be positioned as follows • seat will be adjusted to rearmost position • pedals will be placed in most forward position • bottom 200 mm circle will be placed on seat bottom where distance between center of this circle and rearmost face of pedals is no less than 915 mm • middle 200 mm circle representing shoulders will be positioned on seat back • upper 300 mm circle will be positioned no more than 25 mm away from head restraint where driver’s helmet would normally be located while driving
front hoop must be constructed of closed section metal tubing meeting f321c,front hoop must be constructed of closed section metal tubing meeting f321c
with proper triangulation front hoop may be fabricated from more than one piece of tubing,f572 f572 with proper triangulation front hoop may be fabricated from more than one piece of tubing
front hoop must extend from lowest frame member on one side of frame up over and down to lowest frame member on other side of frame,f573 f573 front hoop must extend from lowest frame member on one side of frame up over and down to lowest frame member on other side of frame
topmost surface of front hoop must be no lower than top of steering wheel in any angular position see figure following f596 below,f574 f574 topmost surface of front hoop must be no lower than top of steering wheel in any angular position see figure following f596 below
front hoop must be no more than 250 mm forward of steering wheel this distance is measured horizontally on vehicle centerline from rear surface of front hoop to forward most surface of steering wheel rim with steering in straight ahead position,f575 f575 front hoop must be no more than 250 mm forward of steering wheel this distance is measured horizontally on vehicle centerline from rear surface of front hoop to forward most surface of steering wheel rim with steering in straight ahead position
